id,xmin,xmax,ymin,ymax,CellName,Col,Lin
0,80.000000000000000,80.250000000000000,-52.750000000000000,-52.500000000000000,A1,A,1
1,80.250000000000000,80.500000000000000,-52.750000000000000,-52.500000000000000,B1,B,1
2,80.500000000000000,80.750000000000000,-52.750000000000000,-52.500000000000000,C1,C,1
3,80.750000000000000,81.000000000000000,-52.750000000000000,-52.500000000000000,D1,D,1
4,81.000000000000000,81.250000000000000,-52.750000000000000,-52.500000000000000,E1,E,1
5,81.250000000000000,81.500000000000000,-52.750000000000000,-52.500000000000000,F1,F,1
6,81.500000000000000,81.750000000000000,-52.750000000000000,-52.500000000000000,G1,G,1
7,81.750000000000000,82.000000000000000,-52.750000000000000,-52.500000000000000,H1,H,1
8,82.000000000000000,82.250000000000000,-52.750000000000000,-52.500000000000000,I1,I,1
9,82.250000000000000,82.500000000000000,-52.750000000000000,-52.500000000000000,J1,J,1
10,82.500000000000000,82.750000000000000,-52.750000000000000,-52.500000000000000,K1,K,1
11,82.750000000000000,83.000000000000000,-52.750000000000000,-52.500000000000000,L1,L,1
12,83.000000000000000,83.250000000000000,-52.750000000000000,-52.500000000000000,M1,M,1
13,83.250000000000000,83.500000000000000,-52.750000000000000,-52.500000000000000,N1,N,1
14,83.500000000000000,83.750000000000000,-52.750000000000000,-52.500000000000000,O1,O,1
15,83.750000000000000,84.000000000000000,-52.750000000000000,-52.500000000000000,P1,P,1
16,84.000000000000000,84.250000000000000,-52.750000000000000,-52.500000000000000,Q1,Q,1
17,84.250000000000000,84.500000000000000,-52.750000000000000,-52.500000000000000,R1,R,1
18,84.500000000000000,84.750000000000000,-52.750000000000000,-52.500000000000000,S1,S,1
19,84.750000000000000,85.000000000000000,-52.750000000000000,-52.500000000000000,T1,T,1
21,80.000000000000000,80.250000000000000,-53.000000000000000,-52.750000000000000,A2,A,2
22,80.250000000000000,80.500000000000000,-53.000000000000000,-52.750000000000000,B2,B,2
23,80.500000000000000,80.750000000000000,-53.000000000000000,-52.750000000000000,C2,C,2
24,80.750000000000000,81.000000000000000,-53.000000000000000,-52.750000000000000,D2,D,2
25,81.000000000000000,81.250000000000000,-53.000000000000000,-52.750000000000000,E2,E,2
26,81.250000000000000,81.500000000000000,-53.000000000000000,-52.750000000000000,F2,F,2
27,81.500000000000000,81.750000000000000,-53.000000000000000,-52.750000000000000,G2,G,2
28,81.750000000000000,82.000000000000000,-53.000000000000000,-52.750000000000000,H2,H,2
29,82.000000000000000,82.250000000000000,-53.000000000000000,-52.750000000000000,I2,I,2
30,82.250000000000000,82.500000000000000,-53.000000000000000,-52.750000000000000,J2,J,2
31,82.500000000000000,82.750000000000000,-53.000000000000000,-52.750000000000000,K2,K,2
32,82.750000000000000,83.000000000000000,-53.000000000000000,-52.750000000000000,L2,L,2
33,83.000000000000000,83.250000000000000,-53.000000000000000,-52.750000000000000,M2,M,2
34,83.250000000000000,83.500000000000000,-53.000000000000000,-52.750000000000000,N2,N,2
35,83.500000000000000,83.750000000000000,-53.000000000000000,-52.750000000000000,O2,O,2
36,83.750000000000000,84.000000000000000,-53.000000000000000,-52.750000000000000,P2,P,2
37,84.000000000000000,84.250000000000000,-53.000000000000000,-52.750000000000000,Q2,Q,2
38,84.250000000000000,84.500000000000000,-53.000000000000000,-52.750000000000000,R2,R,2
39,84.500000000000000,84.750000000000000,-53.000000000000000,-52.750000000000000,S2,S,2
40,84.750000000000000,85.000000000000000,-53.000000000000000,-52.750000000000000,T2,T,2
42,80.000000000000000,80.250000000000000,-53.250000000000000,-53.000000000000000,A3,A,3
43,80.250000000000000,80.500000000000000,-53.250000000000000,-53.000000000000000,B3,B,3
44,80.500000000000000,80.750000000000000,-53.250000000000000,-53.000000000000000,C3,C,3
45,80.750000000000000,81.000000000000000,-53.250000000000000,-53.000000000000000,D3,D,3
46,81.000000000000000,81.250000000000000,-53.250000000000000,-53.000000000000000,E3,E,3
47,81.250000000000000,81.500000000000000,-53.250000000000000,-53.000000000000000,F3,F,3
48,81.500000000000000,81.750000000000000,-53.250000000000000,-53.000000000000000,G3,G,3
49,81.750000000000000,82.000000000000000,-53.250000000000000,-53.000000000000000,H3,H,3
50,82.000000000000000,82.250000000000000,-53.250000000000000,-53.000000000000000,I3,I,3
51,82.250000000000000,82.500000000000000,-53.250000000000000,-53.000000000000000,J3,J,3
52,82.500000000000000,82.750000000000000,-53.250000000000000,-53.000000000000000,K3,K,3
53,82.750000000000000,83.000000000000000,-53.250000000000000,-53.000000000000000,L3,L,3
54,83.000000000000000,83.250000000000000,-53.250000000000000,-53.000000000000000,M3,M,3
55,83.250000000000000,83.500000000000000,-53.250000000000000,-53.000000000000000,N3,N,3
56,83.500000000000000,83.750000000000000,-53.250000000000000,-53.000000000000000,O3,O,3
57,83.750000000000000,84.000000000000000,-53.250000000000000,-53.000000000000000,P3,P,3
58,84.000000000000000,84.250000000000000,-53.250000000000000,-53.000000000000000,Q3,Q,3
59,84.250000000000000,84.500000000000000,-53.250000000000000,-53.000000000000000,R3,R,3
60,84.500000000000000,84.750000000000000,-53.250000000000000,-53.000000000000000,S3,S,3
61,84.750000000000000,85.000000000000000,-53.250000000000000,-53.000000000000000,T3,T,3
63,80.000000000000000,80.250000000000000,-53.500000000000000,-53.250000000000000,A4,A,4
64,80.250000000000000,80.500000000000000,-53.500000000000000,-53.250000000000000,B4,B,4
65,80.500000000000000,80.750000000000000,-53.500000000000000,-53.250000000000000,C4,C,4
66,80.750000000000000,81.000000000000000,-53.500000000000000,-53.250000000000000,D4,D,4
